code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank
MANAPPURAM,3000,2.5,120000,FINANCE,FINANCE & INVEST,MIDCAP,14299.84,FINANCE-17 of 20,NiftyRank-177
IBULHSGFIN,3100,5,93000,FINANCE,FINANCE-HOUSING,MIDCAP,10252.02,FINANCE-18 of 20,NiftyRank-183
IDFC,10000,1,400000,FINANCE,FINANCE & INVEST,MIDCAP,10241.14,FINANCE-19 of 20,NiftyRank-184
CANFINHOME,975,10,39000,FINANCE,FINANCE-HOUSING,MIDCAP,8065.81,FINANCE-20 of 20,NiftyRank-193
HINDUNILVR,300,20,9000,FMCG,PERSONALCARE-MNC,LARGECAP,555372.89,FMCG-1 of 28,NiftyRank-6
ITC,3200,2.5,96000,FMCG,CIGARETTES,LARGECAP,274250.46,FMCG-2 of 28,NiftyRank-17
NESTLEIND,25,100,1250,FMCG,FOOD-PROC-MNC,LARGECAP,187047.94,FMCG-3 of 28,NiftyRank-25
DABUR,1250,5,37500,FMCG,PERSONALCARE-IND,LARGECAP,101793.18,FMCG-4 of 28,NiftyRank-44
GODREJCP,500,10,20000,FMCG,PERSONALCARE-IND,LARGECAP,93949.64,FMCG-5 of 28,NiftyRank-48
BRITANNIA,200,20,6000,FMCG,FOOD-PROC-MNC,LARGECAP,89411.52,FMCG-6 of 28,NiftyRank-49
SIEMENS,275,20,11000,FMCG,ELECTRIC EQUIP,LARGECAP,85274.78,FMCG-7 of 28,NiftyRank-51
HAVELLS,500,20,15000,FMCG,ELECTRIC EQUIP,LARGECAP,84228.37,FMCG-8 of 28,NiftyRank-53
TATACONSUM,675,10,27000,FMCG,TEA,LARGECAP,70268.32,FMCG-9 of 28,NiftyRank-69
MCDOWELL-N,1250,10,25000,FMCG,BREWERIES & DIST,LARGECAP,68609.23,FMCG-10 of 28,NiftyRank-71
MARICO,1000,5,40000,FMCG,PERSONALCARE-IND,LARGECAP,64539.02,FMCG-11 of 28,NiftyRank-72
BEL,3800,2.5,114000,FMCG,ELECTRONIC-COMP.,LARGECAP,53629.41,FMCG-12 of 28,NiftyRank-82
PAGEIND,30,500,600,FMCG,TEXT-PRODUCTS,LARGECAP,49754.87,FMCG-13 of 28,NiftyRank-87
ASTRAL,275,50,11000,FMCG,PLASTIC PRODUCTS,LARGECAP,49585.09,FMCG-14 of 28,NiftyRank-88
HAL,475,20,14250,FMCG,ENGINEERING,LARGECAP,45665.63,FMCG-15 of 28,NiftyRank-95
UBL,350,20,14000,FMCG,BREWERIES & DIST,LARGECAP,43786.81,FMCG-16 of 28,NiftyRank-101
VOLTAS,500,20,20000,FMCG,AIR-CONDITIONERS,LARGECAP,43135.79,FMCG-17 of 28,NiftyRank-104
TRENT,725,20,21750,FMCG,TRADING,LARGECAP,41408.96,FMCG-18 of 28,NiftyRank-110
COLPAL,350,10,14000,FMCG,PERSONALCARE-MNC,LARGECAP,39807.82,FMCG-19 of 28,NiftyRank-116
HONAUT,15,500,600,FMCG,ELECTRONIC-COMP.,LARGECAP,39394.47,FMCG-20 of 28,NiftyRank-118
DIXON,125,100,3750,FMCG,ELECTRONIC-CONS.,LARGECAP,30899.85,FMCG-21 of 28,NiftyRank-138
ABFRL,2600,5,78000,FMCG,TEXT-PRODUCTS,LARGECAP,28877.06,FMCG-22 of 28,NiftyRank-141
CROMPTON,1100,10,44000,FMCG,ELECTRIC EQUIP,LARGECAP,28050.31,FMCG-23 of 28,NiftyRank-142
CUMMINSIND,600,10,24000,FMCG,ENGINES,LARGECAP,27355.48,FMCG-24 of 28,NiftyRank-147
BATAINDIA,550,20,11000,FMCG,LEATH/LEATH PROD,LARGECAP,25717.72,FMCG-25 of 28,NiftyRank-150
WHIRLPOOL,250,20,10000,FMCG,DOMESTIC APPLIAN,LARGECAP,23813.84,FMCG-26 of 28,NiftyRank-155
BHEL,10500,1,315000,FMCG,ELECTRIC EQUIP,LARGECAP,22180.74,FMCG-27 of 28,NiftyRank-160
BALRAMCHIN,1600,5,64000,FMCG,SUGAR,MIDCAP,9011.43,FMCG-28 of 28,NiftyRank-188
TCS,150,20,6000,I.T,COMPUTER-SW-LARG,LARGECAP,1467839.07,I.T-1 of 16,NiftyRank-2
INFY,300,20,12000,I.T,COMPUTER-SW-LARG,LARGECAP,811410.9,I.T-2 of 16,NiftyRank-4
HCLTECH,700,10,21000,I.T,COMPUTER-SW-LARG,LARGECAP,362871.3,I.T-3 of 16,NiftyRank-12
WIPRO,800,5,32000,I.T,COMPUTER-SW-LARG,LARGECAP,350662.81,I.T-4 of 16,NiftyRank-13
TECHM,600,20,12000,I.T,COMPUTER-SW-LARG,LARGECAP,168664.27,I.T-5 of 16,NiftyRank-27
LTI,150,100,3000,I.T,COMPUTER-SW-LARG,LARGECAP,124028.83,I.T-6 of 16,NiftyRank-37
MINDTREE,200,100,6000,I.T,COMPUTER-SW-LARG,LARGECAP,74952.64,I.T-7 of 16,NiftyRank-61
NAUKRI,125,100,3750,I.T,MISCELLANEOUS,LARGECAP,73358.65,I.T-8 of 16,NiftyRank-64
MPHASIS,175,50,7000,I.T,COMPUTER-SW-M/S,LARGECAP,61185.18,I.T-9 of 16,NiftyRank-76
LTTS,200,100,4000,I.T,COMPUTER-SW-M/S,LARGECAP,58464.25,I.T-10 of 16,NiftyRank-79
OFSS,125,50,5000,I.T,COMPUTER-SW-M/S,LARGECAP,35337.58,I.T-11 of 16,NiftyRank-126
COFORGE,100,100,4000,I.T,COMPUTER-SW-M/S,LARGECAP,34483.19,I.T-12 of 16,NiftyRank-127
PERSISTENT,150,100,4500,I.T,COMPUTER-SW-M/S,LARGECAP,33975.12,I.T-13 of 16,NiftyRank-128
INDIAMART,75,100,3000,I.T,MISCELLANEOUS,LARGECAP,20691.91,I.T-14 of 16,NiftyRank-165
BSOFT,1300,10,52000,I.T,COMPUTER-SW-M/S,MIDCAP,15508.23,I.T-15 of 16,NiftyRank-173
FSL,2600,2.5,104000,I.T,COMPUTER-SW-M/S,MIDCAP,12413.41,I.T-16 of 16,NiftyRank-180
RELIANCE,250,20,10000,INDUSTRIALS,REFINERIES,LARGECAP,1717879.79,INDUSTRIALS-1 of 36,NiftyRank-1
ASIANPAINT,150,20,7500,INDUSTRIALS,PAINTS/VARNISH,LARGECAP,322712.5,INDUSTRIALS-2 of 36,NiftyRank-14
ULTRACEMCO,100,100,3000,INDUSTRIALS,CEMENT-NORTH IND,LARGECAP,221133.26,INDUSTRIALS-3 of 36,NiftyRank-21
PIDILITIND,250,20,10000,INDUSTRIALS,CHEMICALS,LARGECAP,137230.79,INDUSTRIALS-4 of 36,NiftyRank-33
VEDL,3100,5,62000,INDUSTRIALS,MINING/MINER/MET,LARGECAP,124972.15,INDUSTRIALS-5 of 36,NiftyRank-36
IOC,6500,1,195000,INDUSTRIALS,REFINERIES,LARGECAP,116076.58,INDUSTRIALS-6 of 36,NiftyRank-40
COALINDIA,4200,2.5,126000,INDUSTRIALS,MINING/MINER/MET,LARGECAP,101530.95,INDUSTRIALS-7 of 36,NiftyRank-45
SHREECEM,25,250,750,INDUSTRIALS,CEMENT-NORTH IND,LARGECAP,97701.07,INDUSTRIALS-8 of 36,NiftyRank-47
BPCL,1800,5,54000,INDUSTRIALS,REFINERIES,LARGECAP,86433.88,INDUSTRIALS-9 of 36,NiftyRank-50
AMBUJACEM,1500,5,60000,INDUSTRIALS,CEMENT-NORTH IND,LARGECAP,79961.93,INDUSTRIALS-10 of 36,NiftyRank-56
SRF,375,20,7500,INDUSTRIALS,CHEMICALS,LARGECAP,78631.61,INDUSTRIALS-11 of 36,NiftyRank-57
BERGEPAINT,1100,10,33000,INDUSTRIALS,PAINTS/VARNISH,LARGECAP,74923.04,INDUSTRIALS-12 of 36,NiftyRank-62
GAIL,6100,2.5,183000,INDUSTRIALS,MISCELLANEOUS,LARGECAP,64074.76,INDUSTRIALS-13 of 36,NiftyRank-73
UPL,1300,10,26000,INDUSTRIALS,PEST/AGRO-INDIAN,LARGECAP,63007.01,INDUSTRIALS-14 of 36,NiftyRank-75
HINDPETRO,2700,5,81000,INDUSTRIALS,REFINERIES,LARGECAP,46102.82,INDUSTRIALS-15 of 36,NiftyRank-94
ACC,250,20,10000,INDUSTRIALS,CEMENT-NORTH IND,LARGECAP,44282.11,INDUSTRIALS-16 of 36,NiftyRank-98
