"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"HDFCLIFE","621.50","622.05","0.55","0.09","622.05","1,612","10,02,744.60","6,68,07,87,39,560.70","690.85","457.80"
"IEX","133.20","133.30","0.10","0.08","133.30","4,081","5,43,997.30","1,00,88,16,57,574.23","163.75","116.00"
"MGL","1,112.20","1,112.95","0.75","0.07","1,112.95","215","2,39,284.25","62,37,56,47,973.66","1,149.00","771.40"
"ATUL","6,898.70","6,903.00","4.30","0.06","6,903.00","11","75,933.00","1,09,88,85,63,991.50","8,947.85","6,466.75"
"ESCORTS","3,399.95","3,402.00","2.05","0.06","3,402.00","625","21,26,250.00","1,12,70,65,68,746.09","3,440.15","1,807.70"
"IRCTC","704.60","705.00","0.40","0.06","705.00","2,647","18,66,135.00","2,14,10,72,00,000.00","774.90","557.10"
"TATACONSUM","888.40","888.90","0.50","0.06","888.90","982","8,72,899.80","5,35,62,16,66,807.50","909.90","686.60"
"SIEMENS","3,558.50","3,560.05","1.55","0.04","3,560.05","218","7,76,090.90","3,17,59,69,46,415.38","4,068.85","2,691.50"
"PAGEIND","39,513.85","39,530.00","16.15","0.04","39,530.00","13","5,13,890.00","2,37,32,48,80,953.90","54,349.10","34,952.65"
"MPHASIS","2,464.10","2,465.05","0.95","0.04","2,465.05","242","5,96,542.10","2,05,15,73,35,174.00","2,552.00","1,660.05"
"TECHM","1,231.60","1,232.00","0.40","0.03","1,232.00","1,834","22,59,488.00","7,67,91,68,31,456.00","1,320.00","981.05"
"BAJAJFINSV","1,636.55","1,637.00","0.45","0.03","1,637.00","923","15,10,951.00","8,87,14,92,17,625.27","1,817.90","1,215.00"
"SUNPHARMA","1,128.75","1,129.00","0.25","0.02","1,129.00","1,274","14,38,346.00","12,16,28,28,79,667.25","1,169.70","922.45"
"NAUKRI","4,265.30","4,265.95","0.65","0.02","4,265.95","42","1,79,169.90","3,30,62,09,18,316.00","4,984.50","3,308.20"
"OFSS","4,161.90","4,162.00","0.10","0.00","4,162.00","186","7,74,132.00","96,85,37,52,770.45","4,528.45","2,883.25"
"GRANULES","353.20","353.20","-","-","353.20","1,033","3,64,855.60","47,84,35,84,538.40","381.00","267.75"
"LALPATHLAB","2,495.15","2,495.15","-","-","2,495.15","96","2,39,534.40","89,70,31,71,872.73","2,684.65","1,762.05"
"BHARTIARTL","955.60","955.60","-","-","955.60","13,463","1,28,65,242.80","24,15,32,15,81,051.93","956.80","735.80"
"CUB","140.80","140.80","-","-","140.80","60,208","84,77,286.40","1,01,23,08,38,781.78","205.00","119.50"
"DLF","565.30","565.30","-","-","565.30","5,747","32,48,779.10","3,49,05,03,61,513.95","569.00","336.50"
"PIDILITIND","2,487.65","2,487.65","-","-","2,487.65","475","11,81,633.75","3,80,13,96,00,951.00","2,796.00","2,250.05"
"GAIL","123.55","123.55","-","-","123.55","17,061","21,07,886.55","3,32,79,53,80,880.62","129.55","84.15"
"LAURUSLABS","400.30","400.30","-","-","400.30","1,193","4,77,557.90","1,57,44,33,56,170.10","530.50","278.85"
"MUTHOOTFIN","1,236.15","1,236.15","-","-","1,236.15","102","1,26,087.30","1,33,79,03,08,201.70","1,379.95","911.25"
"IPCALAB","941.75","941.75","-","-","941.75","392","3,69,166.00","1,26,19,37,46,554.29","963.00","669.80"
"DRREDDY","5,567.60","5,567.60","-","-","5,567.60","397","22,10,337.20","6,77,43,30,11,634.08","5,989.70","4,175.10"
"OBEROIRLTY","1,148.60","1,148.60","-","-","1,148.60","338","3,88,226.80","1,33,57,29,17,784.32","1,206.90","790.10"
"RBLBANK","245.90","245.90","-","-","245.90","7,785","19,14,331.50","1,46,36,58,25,062.45","256.70","118.90"
"JKCEMENT","3,185.90","3,185.90","-","-","3,185.90","79","2,51,686.10","1,08,38,40,21,141.20","3,476.40","2,425.25"
"HAL","1,961.60","1,961.60","-","-","1,961.60","1,969","38,62,390.40","3,67,21,09,77,000.00","2,085.00","1,150.00"
"APOLLOHOSP","5,092.85","5,092.80","-0.05","-0.00","5,092.80","189","9,62,539.20","5,11,60,01,88,071.70","5,364.00","4,123.00"
"DALBHARAT","2,301.10","2,301.00","-0.10","-0.00","2,301.00","232","5,33,832.00","1,81,78,44,30,738.96","2,424.75","1,476.05"
"ICICIBANK","953.10","952.85","-0.25","-0.03","952.85","50,213","4,78,45,457.05","66,74,31,71,12,895.90","1,008.70","796.00"
"ONGC","183.25","183.20","-0.05","-0.03","183.20","14,576","26,70,323.20","7,13,67,92,39,356.38","192.25","125.80"
"HCLTECH","1,245.60","1,245.00","-0.60","-0.05","1,245.00","7,869","97,96,905.00","13,13,38,67,69,813.04","1,311.30","936.00"
"JINDALSTEL","692.55","692.20","-0.35","-0.05","692.20","4,356","30,15,223.20","2,54,12,43,46,724.64","722.80","424.50"
"RELIANCE","2,345.05","2,343.85","-1.20","-0.05","2,343.85","22,410","5,25,25,678.50","79,35,29,73,42,852.00","2,856.00","2,180.00"
"IDFCFIRSTB","91.55","91.50","-0.05","-0.05","91.50","95,870","87,72,105.00","3,03,56,01,44,067.60","100.70","51.30"
"HINDUNILVR","2,556.40","2,555.00","-1.40","-0.05","2,555.00","3,227","82,44,985.00","22,81,21,81,56,275.80","2,769.65","2,393.00"
"CHOLAFIN","1,259.70","1,259.00","-0.70","-0.06","1,259.00","570","7,17,630.00","5,06,89,55,07,240.96","1,272.90","658.00"
"PETRONET","224.75","224.55","-0.20","-0.09","224.55","1,393","3,12,798.15","1,68,30,00,09,873.60","254.40","195.70"
"GODREJCP","985.85","984.90","-0.95","-0.10","984.90","597","5,87,985.30","3,73,08,48,78,886.33","1,102.05","793.85"
"HINDALCO","483.90","483.10","-0.80","-0.17","483.10","7,565","36,54,651.50","7,06,97,43,18,135.80","508.90","380.10"
"INFY","1,494.40","1,491.90","-2.50","-0.17","1,491.90","43,483","6,48,72,287.70","53,20,97,92,09,125.40","1,672.60","1,185.30"
"HDFCBANK","1,539.60","1,536.10","-3.50","-0.23","1,536.10","2,89,464","44,46,45,650.40","1,15,74,24,87,27,290.04","1,757.50","1,384.00"
"ZEEL","259.65","259.00","-0.65","-0.25","259.00","12,683","32,84,897.00","2,38,82,35,48,588.80","290.70","170.10"
"MOTHERSON","95.40","95.15","-0.25","-0.26","95.15","46,244","44,00,116.60","2,26,02,75,34,662.93","103.40","61.80"
"INDIGO","2,533.15","2,526.00","-7.15","-0.28","2,526.00","1,136","28,69,536.00","3,12,63,31,82,705.79","2,745.10","1,676.00"
"BOSCHLTD","19,698.10","19,601.25","-96.85","-0.49","19,601.25","419","82,12,923.75","1,68,49,71,65,320.00","19,990.00","15,393.60"
"POWERGRID","198.50","197.35","-1.15","-0.58","197.35","77,681","1,53,30,345.35","9,05,53,46,89,629.30","205.95","153.19"
"VEDL","227.65","226.00","-1.65","-0.72","226.00","39,434","89,12,084.00","2,70,25,57,62,400.26","340.75","208.00"
"TCS","3,609.90","3,575.00","-34.90","-0.97","3,575.00","81,696","29,20,63,200.00","37,01,64,27,30,981.72","3,679.00","3,005.00"
